Year    Value
---------------
 0     $2000.00 
 1     $2600.00 
 2     $3380.00 
 3     $4394.00 
 4     $5712.20 
 5     $7425.86 
 6     $9653.62 
 7     $12549.70
 8     $16314.61
 9     $21209.00
10     $27571.70
11     $35843.21
12     $46596.17
13     $60575.02
14     $78747.53
15     $102371.79
16     $133083.32
17     $173008.32
18     $224910.81
19     $292384.06
20     $380099.28
Year    Value
---------------
 0     $3000.00 
 1     $3900.00 
 2     $5070.00 
 3     $6591.00 
 4     $8568.30 
 5     $11138.79
 6     $14480.43
 7     $18824.56
 8     $24471.92
 9     $31813.50
10     $41357.55
11     $53764.81
12     $69894.26
13     $90862.53
14     $118121.29
15     $153557.68
Year    Value
---------------
 0     $5000.00 
 1     $6150.00 
 2     $7564.50 
 3     $9304.33 
 4     $11444.33
 5     $14076.53
Year    Value
---------------
 0     $12000.00
 1     $14640.00
 2     $17860.80
 3     $21790.18
 4     $26584.01
 5     $32432.50
 6     $39567.65
 7     $48272.53
 8     $58892.49
 9     $71848.83
10     $87655.58
